library	GATA1_type	ATF4_type	n	proportion
template_BCL11A_WT	unmodified	unmodified	1519	75.3098661378285
template_BCL11A_WT	unmodified	modified	240	11.8988596926128
template_BCL11A_WT	modified	unmodified	225	11.1551809618245
FAV39284_pass_dca5b723_41ce3bd7	unmodified	unmodified	89	76.7241379310345
FAW61367_pass_7060b958_94682466	modified	modified	62	56.8807339449541
template_BCL11A_WT	modified	modified	33	1.63609320773426
FAW60490_pass_f881f114_a47281ca	modified	modified	32	29.9065420560748
FAW60490_pass_f881f114_a47281ca	unmodified	unmodified	30	28.0373831775701
FAW60490_pass_f881f114_a47281ca	modified	unmodified	29	27.1028037383178
FAW61367_pass_7060b958_94682466	modified	unmodified	23	21.1009174311927
FAV39284_pass_dca5b723_41ce3bd7	modified	unmodified	18	15.5172413793103
FAW60490_pass_f881f114_a47281ca	unmodified	modified	16	14.9532710280374
FAW61367_pass_7060b958_94682466	unmodified	unmodified	16	14.6788990825688
FAW64023_pass_6211bc3e_9a1fd90d	unmodified	unmodified	14	51.8518518518518
FAV39284_pass_dca5b723_41ce3bd7	unmodified	modified	8	6.89655172413793
FAW61367_pass_7060b958_94682466	unmodified	modified	8	7.3394495412844
FAW64023_pass_6211bc3e_9a1fd90d	modified	modified	5	18.5185185185185
FAW64023_pass_6211bc3e_9a1fd90d	modified	unmodified	4	14.8148148148148
FAW64023_pass_6211bc3e_9a1fd90d	unmodified	modified	4	14.8148148148148
FAV39284_pass_dca5b723_41ce3bd7	modified	modified	1	0.862068965517241
